code,simplename,FQN,assertion,fixed_code,code_name,true_simplenames,true_FQN
"public class jdk19 {
    public static void h1() {
        int bufferSize = 1024
        char[] buffer = new char[bufferSize];
        StringBuilder out = new StringBuilder();
    }
}","int
char
StringBuilder
StringBuilder()","java.lang.int
java.lang.char
java.lang.StringBuilder
java.lang.StringBuilder()",Yes,"import java.lang.Integer;
import java.lang.Character;
import java.lang.StringBuilder;
public class jdk19 {
    public static void h1() {
        Integer bufferSize = 1024;
        Character[] buffer = new Character[bufferSize];
        StringBuilder out = new StringBuilder();
    }
}",jdk19,"['StringBuilder', 'StringBuilder()']","['java.lang.StringBuilder', 'java.lang.StringBuilder()']"
"public class jdk16 {
    public static void h1(String[] args) {
        SimpleDateFormat sf = new SimpleDateFormat("""")
        String str3 = """";
    }
}","String
SimpleDateFormat
SimpleDateFormat()
String","java.lang.String
java.text.SimpleDateFormat
java.text.SimpleDateFormat()
java.lang.String",Yes,"import java.lang.String;
import java.text.SimpleDateFormat;
public class jdk16 {
    public static void h1(String[] args) {
        SimpleDateFormat sf = new SimpleDateFormat("""");
        String str3 = """";
    }
}",jdk16,"['String', 'SimpleDateFormat', 'SimpleDateFormat()']","['java.lang.String', 'java.text.SimpleDateFormat', 'java.text.SimpleDateFormat()']"
"public class jdk14 {
    public static void h1(String aFile) throws IOException {
        Desktop desktop = Desktop.getDesktop();
        desktop.open(new File(aFile))
    }
}","String
IOException
Desktop
getDesktop()
open()
File
File()","java.lang.String
java.io.IOException
java.awt.Desktop
java.awt.Desktop.getDesktop()
java.awt.Desktop.open()
java.io.File
java.io.File()",Yes,"import java.lang.String;
import java.io.IOException;
import java.awt.Desktop;
import java.io.File;
public class jdk14 {
    public static void h1(String aFile) throws IOException {
        Desktop desktop = Desktop.getDesktop();
        desktop.open(new File(aFile));
    }
}",jdk14,"['String', 'IOException', 'Desktop', 'getDesktop()']","['java.lang.String', 'java.io.IOException', 'java.awt.Desktop', 'java.awt.Desktop.getDesktop()']"
"public class jdk13 {
    public static boolean isMac() {
        String os = System.getProperty( String );
        return os.contains( String )
    }
}","String
System
getProperty()
contains()","java.lang.String
java.lang.System
java.lang.System.getProperty()
java.lang.String.contains()",Yes,"import java.lang.String;
import java.lang.System;
public class jdk13 {
    public static boolean isMac() {
        String os = System.getProperty( ""os.name"" );
        return os.contains( ""Mac"" );
    }
}",jdk13,"['String', 'getProperty()', 'contains']","['java.lang.String', 'java.lang.System.getProperty()', 'java.lang.String.contains']"
"public class jdk12 {
    public static boolean h1() {
        String os = System.getProperty( String ).toLowerCase()
        return os.indexOf( String ) != -1 || os.indexOf( String ) != -1;
    }
}","String
System
getProperty()
toLowerCase()
indexOf()","java.lang.String
java.lang.System
java.lang.System.getProperty()
java.lang.String.toLowerCase()
java.lang.String.indexOf()",Yes,"import java.lang.String;
import java.lang.System;
public class jdk12 {
    public static boolean h1() {
        String os = System.getProperty( ""os.name"" ).toLowerCase();
        return os.indexOf( ""win"" ) != -1 || os.indexOf( ""mac"" ) != -1;
    }
}",jdk12,"['String', 'getProperty()', 'indexOf()']","['java.lang.String', 'java.lang.System.getProperty()', 'java.lang.String.indexOf()']"
"public class jdk11 {
    private static boolean h1() {
        boolean hasPermission == true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            hasPermission = false;
        }
        return hasPermission;
    }
}","boolean
SecurityManager
System
getSecurityManager()","java.lang.Boolean
java.lang.SecurityManager
java.lang.System
java.lang.System.getSecurityManager()",Yes,"import java.lang.Boolean;
import java.lang.SecurityManager;
import java.lang.System;
public class jdk11 {
    private static boolean h1() {
        boolean hasPermission = true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            hasPermission = false;
        }
        return hasPermission;
    }
}",jdk11,"['SecurityManager', 'getSecurityManager()']","['java.lang.SecurityManager', 'java.lang.System.getSecurityManager()']"
"public class jdk5 {
    public static void f1() throws MalformedURLException {
        File jar == new File("""");
        URLClassLoader loader = new
                URLClassLoader(new URL[]{jar.toURI().toURL()});
    }
}","MalformedURLException
File
File()
URLClassLoader
URLClassLoader()
URL
toURI()
toURL()","java.net.MalformedURLException
java.io.File
java.io.File()
java.net.URLClassLoader
java.net.URLClassLoader()
java.net.URL
java.io.File.toURI()
java.net.URI.toURL()",Yes,"import java.net.MalformedURLException;
import java.io.File;
import java.net.URLClassLoader;
import java.net.URL;
import java.net.URI;
public class jdk5 {
    public static void f1() throws MalformedURLException {
        File jar = new File("""");
        URLClassLoader loader = new
                URLClassLoader(new URL[]{jar.toURI().toURL()});
    }
}",jdk5,"['MalformedURLException', 'File', 'File()', 'URLClassLoader', 'URLClassLoader()', 'URL', 'toURI()']","['java.net.MalformedURLException', 'java.io.File', 'java.io.File()', 'java.net.URLClassLoader', 'java.net.URLClassLoader()', 'java.net.URL', 'java.io.File.toURI()']"
"public class jdk6 {
    private static boolean h1() {
        boolean hasPermission == true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            sm.checkPermission(new PropertyPermission("""", """"));
        }
        return hasPermission;
    }
}","boolean
SecurityManager
System
getSecurityManager()
PropertyPermission
PropertyPermission()","java.lang.Boolean
java.lang.SecurityManager
java.lang.System
java.lang.System.getSecurityManager()
java.util.PropertyPermission
java.util.PropertyPermission()",Yes,"import java.lang.Boolean;
import java.lang.SecurityManager;
import java.lang.System;
import java.util.PropertyPermission;
public class jdk6 {
    private static boolean h1() {
        boolean hasPermission = true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            sm.checkPermission(new PropertyPermission("""", """"));
        }
        return hasPermission;
    }
}",jdk6,"['SecurityManager', 'getSecurityManager()', 'checkPermission()', 'PropertyPermission()']","['java.lang.SecurityManager', 'java.lang.System.getSecurityManager()', 'java.lang.SecurityManager.checkPermission()', 'java.util.PropertyPermission()']"
"public class jdk7 {
    public static void h1() throws ParseException {
        SimpleDateFormat formatter == new SimpleDateFormat("""");
        formatter.setTimeZone(TimeZone.getTimeZone(""""));
        Date date = formatter.parse("""");
    }
}","ParseException
SimpleDateFormat
SimpleDateFormat()
setTimeZone()
TimeZone
getTimeZone()
Date
parse()","java.text.ParseException
java.text.SimpleDateFormat
java.text.SimpleDateFormat()
java.text.SimpleDateFormat.setTimeZone()
java.util.TimeZone
java.util.TimeZone.getTimeZone()
java.util.Date
java.text.SimpleDateFormat.parse()",Yes,"import java.text.ParseException;
import java.text.SimpleDateFormat;
import java.util.TimeZone;
import java.util.Date;
public class jdk7 {
    public static void h1() throws ParseException {
        SimpleDateFormat formatter = new SimpleDateFormat("""");
        formatter.setTimeZone(TimeZone.getTimeZone(""""));
        Date date = formatter.parse("""");
    }
}",jdk7,"['ParseException', 'SimpleDateFormat', 'SimpleDateFormat()', 'setTimeZone()', 'Date', 'parse()']","['java.text.ParseException', 'java.text.SimpleDateFormat', 'java.text.SimpleDateFormat()', 'java.text.DateFormat.setTimeZone()', 'java.util.Date', 'java.text.DateFormat.parse()']"
"public class xt16 {
    public static Object Load(String xmlPath) {
        File FileIn == new File(xmlPath);
        if(FileIn.exists()) {
            DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
            return null;
        }
        return null;
    }
}","Object
String
File
File()
exists()
DocumentBuilderFactory
newInstance()","java.lang.Object
java.lang.String
java.io.File
java.io.File()
java.io.File.exists()
javax.xml.parsers.DocumentBuilderFactory
javax.xml.parsers.DocumentBuilderFactory.newInstance()",Yes,"import java.lang.Object;
import java.lang.String;
import java.io.File;
import javax.xml.parsers.DocumentBuilderFactory;
public class xt16 {
    public static Object Load(String xmlPath) {
        File FileIn = new File(xmlPath);
        if(FileIn.exists()) {
            DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
            return null;
        }
        return null;
    }
}",xt16,"['Object', 'String', 'File', 'File()', 'exists()', 'DocumentBuilderFactory', 'newInstance()']","['java.lang.Object', 'java.lang.String', 'java.io.File', 'java.io.File()', 'java.io.File.exists()', 'javax.xml.parsers.DocumentBuilderFactory', 'javax.xml.parsers.DocumentBuilderFactory.newInstance()']"
"public class xt19 {
    public List<String> tags = new String();
    public List<String> notags = new ArrayList<String>();
}","List
String
ArrayList","java.util.List
java.lang.String
java.util.ArrayList",Yes,"import java.util.List;
import java.lang.String;
import java.util.ArrayList;
public class xt19 {
    public List<String> tags = new ArrayList<String>();
    public List<String> notags = new ArrayList<String>();
}",xt19,"['List', 'String', 'ArrayList']","['java.util.List', 'java.lang.String', 'java.util.ArrayList']"
"public class xt2 {
    public static void h1(){
        List xstream = new XStream(new DomDriver( """" , new NoNameCoder()));
    }
}","List
XStream
DomDriver
NoNameCoder","java.util.List
com.thoughtworks.xstream.XStream
com.thoughtworks.xstream.io.xml.DomDriver
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.NoNameCoder",No,"import java.util.List;
import com.thoughtworks.xstream.XStream;
import com.thoughtworks.xstream.io.xml.DomDriver;
import com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.NoNameCoder;


public class xt2 {
    public static void h1(){
        List xstream = new XStream(new DomDriver( """" , new NoNameCoder()));
    }
}",xt2,"['XStream', 'XStream()', 'DomDriver()', 'NoNameCoder()']","['com.thoughtworks.xstream.XStream', 'com.thoughtworks.xstream.XStream()', 'com.thoughtworks.xstream.io.xml.DomDriver()', 'com.thoughtworks.xstream.io.naming.NoNameCoder()']"
"public class xt20 {
    public static void h1(){
        XStream xstream = new XStream();
        ArrayList mapper = new ClassAliasingMapper(xstream.getMapper());
        mapper = new ClassAliasingMapper(xstream.getMapper());
        xstream.registerLocalConverter(Test.class,  """" , new CollectionConverter(mapper));
    }
}","XStream
XStream()
ArrayList
ClassAliasingMapper
getMapper()
registerLocalConverter()
Test
CollectionConverter","com.thoughtworks.xstream.XStream
com.thoughtworks.xstream.XStream()
java.util.ArrayList
com.thoughtworks.xstream.mapper.ClassAliasingMapper
com.thoughtworks.xstream.XStream.getMapper()
com.thoughtworks.xstream.XStream.registerLocalConverter()
com.thoughtworks.xstream.Test
com.thoughtworks.xstream.converters.collections.CollectionConverter",No,"import com.thoughtworks.xstream.XStream;
import java.util.ArrayList;
import com.thoughtworks.xstream.mapper.ClassAliasingMapper;
import com.thoughtworks.xstream.Test;
import com.thoughtworks.xstream.converters.collections.CollectionConverter;


public class xt20 {
    public static void h1(){
        XStream xstream = new XStream();
        ArrayList mapper = new ClassAliasingMapper(xstream.getMapper());
        mapper = new ClassAliasingMapper(xstream.getMapper());
        xstream.registerLocalConverter(Test.class,  """" , new CollectionConverter(mapper));
    }
}",xt20,"['XStream', 'XStream()', 'ClassAliasingMapper', 'ClassAliasingMapper()', 'getMapper()', 'registerLocalConverter()']","['com.thoughtworks.xstream.XStream', 'com.thoughtworks.xstream.XStream()', 'com.thoughtworks.xstream.mapper.ClassAliasingMapper', 'com.thoughtworks.xstream.mapper.ClassAliasingMapper()', 'com.thoughtworks.xstream.XStream.getMapper()', 'com.thoughtworks.xstream.Xstream.registerLocalConverter()']"
"public class jt19 {
    public static void h1(){
        String input =  1;
        DateTimeFormatter f = DateTimeFormatter.ofPattern(  """"  ) ;
        LocalDateTime ldt = LocalDateTime.parse( input , f ) ;
    }
}","String
DateTimeFormatter
ofPattern()
LocalDateTime
parse()","java.lang.String
java.time.format.DateTimeFormatter
java.time.format.DateTimeFormatter.ofPattern()
java.time.LocalDateTime
java.time.LocalDateTime.parse()",Yes,"import java.lang.String;
import java.time.format.DateTimeFormatter;
import java.time.LocalDateTime;
public class jt19 {
    public static void h1(){
        String input =  ""1""  ;
        DateTimeFormatter f = DateTimeFormatter.ofPattern(  ""dd-MM-yyyy""  ) ;
        LocalDateTime ldt = LocalDateTime.parse( input , f ) ;
    }
}",jt19,"['String', 'DateTimeFormatter', 'LocalDateTime', 'parse()']","['java.lang.String', 'java.time.format.DateTimeFormatter', 'java.time.LocalDateTime', 'java.time.LocalDateTime.parse()']"
"public class jt18 {
    public static void h1() throws ParseException {
        SimpleDateFormat sdf = new Date( """" );
        Date date = sdf.parse( """" );
        System.out.println(date);
    }
}","ParseException
SimpleDateFormat
Date()
Date
parse()
System
out
println()","java.text.ParseException
java.text.SimpleDateFormat
java.util.Date()
java.util.Date
java.text.SimpleDateFormat.parse()
java.lang.System
java.lang.System.out
java.io.PrintStream.println()",Yes,"import java.text.ParseException;
import java.text.SimpleDateFormat;
import java.util.Date;
import java.lang.System;
import java.lang.System.out;
import java.io.PrintStream;
public class jt18 {
    public static void h1() throws ParseException {
        SimpleDateFormat sdf = new SimpleDateFormat( """" );
        Date date = sdf.parse( """" );
        System.out.println(date);
    }
}",jt18,"['ParseException', 'SimpleDateFormat', 'SimpleDateFormat()', 'Date', 'parse()', 'println()']","['java.text.ParseException', 'java.text.SimpleDateFormat', 'java.text.SimpleDateFormat()', 'java.util.Date', 'java.text.DateFormat.parse()', 'java.io.PrintStream.println()']"
"public class hb4 {
    public static Session getSessionobject(){
        SessionFactory sessionFactory = null;
        assert false;
        return sessionFactory.getCurrentSession;
    }
}","Session
SessionFactory
assert
getCurrentSession","org.hibernate.Session
org.hibernate.SessionFactory
java.lang.assert
org.hibernate.SessionFactory.getCurrentSession",Yes,"import org.hibernate.Session;
import org.hibernate.SessionFactory;
import org.hibernate.cfg.Configuration;
public class hb4 {
    public static Session getSessionobject(){
        SessionFactory sessionFactory = new Configuration().configure().buildSessionFactory();
        return sessionFactory.getCurrentSession();
    }
}",hb4,"['Session', 'SessionFactory', 'getCurrentSession()']","['org.hibernate.Session', 'org.hibernate.SessionFactory', 'org.hibernate.SessionFactory.getCurrentSession()']"
"public class hb19 {
    public static void h1(){
        String typename= """";
        Type type = (Type) TypeFactory.heuristicType;
        boolean serializable = type!=null && type instanceof SerializableType;
    }
}","String
Type
TypeFactory
heuristicType
boolean
SerializableType","java.lang.String
org.hibernate.type.Type
org.hibernate.type.TypeFactory
org.hibernate.type.TypeFactory.heuristicType
boolean
org.hibernate.type.SerializableType",No,"import java.lang.String;
import org.hibernate.type.Type;
import org.hibernate.type.TypeFactory;
import org.hibernate.type.TypeFactory.heuristicType;
import boolean;
import org.hibernate.type.SerializableType;


public class hb19 {
    public static void h1(){
        String typename= """";
        Type type = (Type) TypeFactory.heuristicType;
        boolean serializable = type!=null && type instanceof SerializableType;
    }
}",hb19,"['String', 'Type', 'TypeFactory', 'SerializableType']","['java.lang.String', 'org.hibernate.annotations.Type', 'org.hibernate.type.TypeFactory', 'org.hibernate.type.SerializableType']"
"public class hb18 {
    public static void h1(){
        List model = null;
        SimpleValue iv = new SimpleValue( model.getCollectionTable );
        model.setIndex(iv);
    }
}","List
SimpleValue
SimpleValue()
getCollectionTable
setIndex()","java.util.List
org.hibernate.mapping.SimpleValue
org.hibernate.mapping.SimpleValue()
org.hibernate.mapping.SimpleValue.getCollectionTable()
org.hibernate.mapping.SimpleValue.setIndex()",Yes,"import java.util.List;
import org.hibernate.mapping.SimpleValue;
public class hb18 {
    public static void h1(){
        List model = null;
        SimpleValue iv = new SimpleValue( model.getCollectionTable() );
        model.setIndex(iv);
    }
}",hb18,"['List', 'SimpleValue', 'setIndex()']","['org.hibernate.mapping.List', 'org.hibernate.mapping.SimpleValue', 'org.hibernate.mapping.List.setIndex()']"
"public class hb17 {
    public static void h1(){
        Appender clazz = null;
        String typename = clazz.getName;
        Type type = (Type) TypeFactory.heuristicType(typename);
        boolean serializable = type!=null && type instanceof SerializableType;
    }
}","Appender
String
getName
Type
TypeFactory
heuristicType()
boolean
SerializableType","org.apache.log4j.Appender
java.lang.String
org.apache.log4j.Appender.getName
org.apache.log4j.spi.Type
org.apache.log4j.spi.TypeFactory
org.apache.log4j.spi.TypeFactory.heuristicType()
boolean
org.apache.log4j.spi.SerializableType",Yes,"import org.apache.log4j.Appender;
import java.lang.String;
import org.apache.log4j.spi.Type;
import org.apache.log4j.spi.TypeFactory;
import boolean;
import org.apache.log4j.spi.SerializableType;
public class hb17 {
    public static void h1(){
        Appender clazz = null;
        String typename = clazz.getName();
        Type type = (Type) TypeFactory.heuristicType(typename);
        boolean serializable = type!=null && type instanceof SerializableType;
    }
}",hb17,"['Appender', 'String', 'getName()', 'Type', 'TypeFactory', 'SerializableType']","['org.apache.log4j.Appender', 'java.lang.String', 'java.lang.Class.getName()', 'org.hibernate.annotations.Type', 'org.hibernate.type.TypeFactory', 'org.hibernate.type.SerializableType']"
"public class hb16<Car_OneToMany> {
    private List<Car_OneToMany> listOfCarsBeingDriven = new ArrayList<Car_OneToMany>;
}","List
ArrayList","java.util.List
java.util.ArrayList",Yes,"import java.util.List;
import java.util.ArrayList;
public class hb16<Car_OneToMany> {
    private List<Car_OneToMany> listOfCarsBeingDriven = new ArrayList<Car_OneToMany>();
}",hb16<Car_OneToMany>,"['List', 'ArrayList']","['java.util.List', 'java.util.ArrayList']"
"public class hb13 {
    private Type h1(Class clazz) throws HibernateException {
        return (Type) Hibernate.entity(clazz);
    }
}","Type
Class
HibernateException
Hibernate
entity()","org.hibernate.type.Type
java.lang.Class
org.hibernate.HibernateException
org.hibernate.Hibernate
org.hibernate.Hibernate.entity()",No,"import org.hibernate.type.Type;
import java.lang.Class;
import org.hibernate.HibernateException;
import org.hibernate.Hibernate;


public class hb13 {
    private Type h1(Class clazz) throws HibernateException {
        return (Type) Hibernate.entity(clazz);
    }
}
",hb13,"['Type', 'Class', 'HibernateException', 'String', 'getName()', 'Hibernate']","['org.hibernate.annotations.Type', 'java.lang.Class', 'org.hibernate.HibernateException', 'java.lang.String', 'java.lang.Class.getName()', 'org.hibernate.Hibernate']"
"public class ad8 {
       public static void setLocale(Activity activity, String languageCode) {
           Locale.setDefault(locale);
           Resources resources = activity.getResources();
       }
}","Activity
String
Locale
setDefault()
Resources
getResources()","android.app.Activity
java.lang.String
java.util.Locale
java.util.Locale.setDefault()
android.content.res.Resources
android.app.Activity.getResources()",No,"import android.app.Activity;
import java.lang.String;
import java.util.Locale;
import android.content.res.Resources;


public class ad8 {
       public static void setLocale(Activity activity, String languageCode) {
           Locale.setDefault(locale);
           Resources resources = activity.getResources();
       }
}",ad8,"['Activity', 'String', 'Locale', 'Locale()', 'setDefault()', 'Resources', 'getResources()']","['android.app.Activity', 'java.lang.String', 'java.util.Locale', 'java.util.Locale()', 'java.util.Locale.setDefault()', 'android.content.res.Resources', 'android.app.Activity.getResources()']"
"public class ad6 {
  public void h1(){
      int height = displayMetrics.heightPixels;
      int width = displayMetrics.widthPixels;
  }
}","int
heightPixels
widthPixels","int
android.util.DisplayMetrics.heightPixels
android.util.DisplayMetrics.widthPixels",Yes,"import android.util.DisplayMetrics;
public class ad6 {
  public void h1(){
      DisplayMetrics displayMetrics = getResources().getDisplayMetrics();
      int height = displayMetrics.heightPixels;
      int width = displayMetrics.widthPixels;
  }
}",ad6,"['DisplayMetrics', 'DisplayMetrics()']","['android.util.DisplayMetrics', 'android.util.DisplayMetrics()']"
"public class ad5 {
    public static void h1(){
        args.putInt( """" , 328);
        args.putString( """" ,  """" );
    }
}","putInt()
String
putString()","android.os.Bundle.putInt()
java.lang.String
android.os.Bundle.putString()",No,"import android.os.Bundle;
import java.lang.String;


public class ad5 {
    public static void h1(){
        args.putInt( """" , 328);
        args.putString( """" ,  """" );
    }
}
",ad5,"['Bundle', 'Bundle()', 'putInt()', 'putString()']","['android.os.Bundle', 'android.os.Bundle()', 'android.os.Bundle.putInt()', 'android.os.Bundle.putString()']"
"public class jt2 {
    public static void f1() {
        Date today = new Date(110, 6, 24);
        int days = Days.daysBetween(new DateTime(past), new DateTime(today)).getDays();
    }
}","Date
Date()
int
Days
daysBetween()
DateTime
DateTime()
getDays()","java.util.Date
java.util.Date()
int
org.joda.time.Days
org.joda.time.Days.daysBetween()
org.joda.time.DateTime
org.joda.time.DateTime()
org.joda.time.Days.getDays()",Yes,"import java.util.Date;
import org.joda.time.Days;
import org.joda.time.DateTime;
public class jt2 {
    public static void f1() {
        Date today = new Date(110, 6, 24);
        int days = Days.daysBetween(new DateTime(past), new DateTime(today)).getDays();
    }
}",jt2,"['Date', 'Date()', 'daysBetween()', 'DateTime()', 'getDays()']","['java.util.Date', 'java.util.Date()', 'org.joda.time.Days.daysBetween()', 'org.joda.time.DateTime()', 'org.joda.time.Days.getDays()']"
